hotel,arrival_date,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,distribution_channel,is_repeated_guest,reserved_room_type,assigned_room_type,deposit_type,customer_type,adr,total_of_special_requests,reservation_status,reservation_status_date,room_match_flag,total_guest,family_flag,booking_changes_flag,total_nights,revenue,booking_time_flag,weekend_ratio,expected_loss,booking_value,booking_urgency,sameDay_booking
Resort Hotel,2015-07-01,0,72,2015,July,27,1,2,4,2,BB,PRT,Direct,Direct,0,A,A,No Deposit,Transient,84.67,1,Check-Out,2015-07-07,Room Match,2,0,TRUE,6,508.02,31-90,0.33,0,Premium Value,0.01,0
Resort Hotel,2015-07-01,0,72,2015,July,27,1,2,4,2,BB,PRT,Direct,Direct,0,D,D,No Deposit,Transient,99.67,1,Check-Out,2015-07-07,Room Match,2,0,TRUE,6,598.02,31-90,0.33,0,Premium Value,0.01,0
Resort Hotel,2015-07-01,0,127,2015,July,27,1,2,5,2,HB,GBR,Offline TA/TO,TA/TO,0,D,I,No Deposit,Contract,94.95,1,Check-Out,2015-07-01,Room Change,2,0,FALSE,7,664.65,90+,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-01,0,78,2015,July,27,1,2,5,2,BB,PRT,Offline TA/TO,TA/TO,0,D,D,No Deposit,Transient,63.6,0,Check-Out,2015-07-08,Room Match,2,0,FALSE,7,445.2,31-90,0.29,0,High Value,0.01,0
Resort Hotel,2015-07-01,0,48,2015,July,27,1,2,5,2,BB,IRL,Offline TA/TO,TA/TO,0,D,D,No Deposit,Contract,79.5,0,Check-Out,2015-07-08,Room Match,2,0,FALSE,7,556.5,31-90,0.29,0,Premium Value,0.02,0
Resort Hotel,2015-07-01,1,60,2015,July,27,1,2,5,2,BB,PRT,Online TA,TA/TO,0,E,E,No Deposit,Transient,107,2,Canceled,2015-05-11,Room Match,2,0,FALSE,7,749,31-90,0.29,749,Premium Value,0.02,0
Resort Hotel,2015-07-01,0,77,2015,July,27,1,2,5,2,BB,PRT,Online TA,TA/TO,0,A,A,No Deposit,Transient,94,0,Check-Out,2015-07-08,Room Match,2,0,FALSE,7,658,31-90,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-01,0,99,2015,July,27,1,2,5,2,BB,PRT,Online TA,TA/TO,0,D,D,No Deposit,Transient,87.3,1,Check-Out,2015-07-08,Room Match,2,0,FALSE,7,611.1,90+,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-01,0,118,2015,July,27,1,4,10,1,BB,NULL,Direct,Direct,0,A,A,No Deposit,Transient,62,2,Check-Out,2015-07-15,Room Match,1,0,TRUE,14,868,90+,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-01,0,95,2015,July,27,1,4,11,2,BB,GBR,Offline TA/TO,TA/TO,0,D,D,No Deposit,Transient,63.86,0,Check-Out,2015-07-16,Room Match,2,0,FALSE,15,957.9,90+,0.27,0,Premium Value,0.01,0
Resort Hotel,2015-07-01,1,96,2015,July,27,1,2,8,2,BB,PRT,Direct,Direct,0,E,E,No Deposit,Transient,108.3,2,Canceled,2015-05-29,Room Match,2,0,FALSE,10,1083,90+,0.2,1083,Premium Value,0.01,0
Resort Hotel,2015-07-02,0,69,2015,July,27,2,2,4,2,BB,IRL,Offline TA/TO,TA/TO,0,A,C,No Deposit,Transient,65.5,0,Check-Out,2015-07-08,Room Change,2,0,FALSE,6,393,31-90,0.33,0,High Value,0.01,0
Resort Hotel,2015-07-02,1,45,2015,July,27,2,1,3,3,BB,PRT,Online TA,TA/TO,0,D,D,No Deposit,Transient,108.8,1,Canceled,2015-05-19,Room Match,3,0,FALSE,4,435.2,31-90,0.25,435.2,High Value,0.02,0
Resort Hotel,2015-07-02,1,40,2015,July,27,2,1,3,3,BB,PRT,Online TA,TA/TO,0,D,D,No Deposit,Transient,108.8,1,Canceled,2015-06-19,Room Match,3,0,FALSE,4,435.2,31-90,0.25,435.2,High Value,0.02,0
Resort Hotel,2015-07-02,0,15,2015,July,27,2,1,3,2,BB,ESP,Online TA,TA/TO,0,A,C,No Deposit,Transient,98,0,Check-Out,2015-07-06,Room Change,2,0,FALSE,4,392,8-30,0.25,0,High Value,0.06,0
Resort Hotel,2015-07-02,0,36,2015,July,27,2,1,3,3,BB,PRT,Online TA,TA/TO,0,D,D,No Deposit,Transient,108.8,1,Check-Out,2015-07-06,Room Match,3,0,FALSE,4,435.2,31-90,0.25,0,High Value,0.03,0
Resort Hotel,2015-07-02,1,43,2015,July,27,2,1,3,3,BB,PRT,Online TA,TA/TO,0,D,D,No Deposit,Transient,108.8,0,Canceled,2015-05-23,Room Match,3,0,FALSE,4,435.2,31-90,0.25,435.2,High Value,0.02,0
Resort Hotel,2015-07-02,0,70,2015,July,27,2,2,3,2,HB,ROU,Direct,Direct,0,E,E,No Deposit,Transient,137,1,Check-Out,2015-07-07,Room Match,2,0,FALSE,5,685,31-90,0.4,0,Premium Value,0.01,0
Resort Hotel,2015-07-02,1,45,2015,July,27,2,2,3,2,BB,PRT,Online TA,TA/TO,0,G,G,No Deposit,Transient,117.81,0,Canceled,2015-05-18,Room Match,2,0,FALSE,5,589.05,31-90,0.4,589.05,Premium Value,0.02,0
Resort Hotel,2015-07-02,0,45,2015,July,27,2,2,3,2,BB,IRL,Offline TA/TO,TA/TO,0,D,D,No Deposit,Contract,79.5,0,Check-Out,2015-07-07,Room Match,2,0,FALSE,5,397.5,31-90,0.4,0,High Value,0.02,0
Resort Hotel,2015-07-02,0,16,2015,July,27,2,2,3,2,BB,ESP,Direct,Direct,0,F,F,No Deposit,Transient,123,0,Check-Out,2015-07-07,Room Match,2,0,FALSE,5,615,8-30,0.4,0,Premium Value,0.06,0
Resort Hotel,2015-07-02,0,107,2015,July,27,2,2,5,2,BB,PRT,Online TA,TA/TO,0,A,A,No Deposit,Transient,110.7,2,Check-Out,2015-07-09,Room Match,2,0,FALSE,7,774.9,90+,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-02,1,47,2015,July,27,2,2,5,2,BB,PRT,Online TA,TA/TO,0,G,G,No Deposit,Transient,153,0,Canceled,2015-06-02,Room Match,4,1,FALSE,7,1071,31-90,0.29,1071,Premium Value,0.02,0
Resort Hotel,2015-07-02,0,96,2015,July,27,2,2,5,2,BB,ESP,Offline TA/TO,TA/TO,0,A,A,No Deposit,Transient,58.95,1,Check-Out,2015-07-09,Room Match,2,0,FALSE,7,412.65000000000003,90+,0.29,0,High Value,0.01,0
Resort Hotel,2015-07-02,0,113,2015,July,27,2,2,5,2,BB,NOR,Offline TA/TO,TA/TO,0,E,E,No Deposit,Transient-Party,82.88,2,Check-Out,2015-07-09,Room Match,2,0,FALSE,7,580.16,90+,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-02,0,90,2015,July,27,2,2,5,2,HB,GBR,Offline TA/TO,TA/TO,0,A,B,No Deposit,Contract,82.35,0,Check-Out,2015-07-09,Room Change,2,0,TRUE,7,576.4499999999999,31-90,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-02,0,50,2015,July,27,2,2,5,2,HB,IRL,Online TA,TA/TO,0,E,F,No Deposit,Transient,119.35,1,Check-Out,2015-07-09,Room Change,2,0,TRUE,7,835.4499999999999,31-90,0.29,0,Premium Value,0.02,0
Resort Hotel,2015-07-02,0,113,2015,July,27,2,2,5,2,BB,NOR,Offline TA/TO,TA/TO,0,D,D,No Deposit,Transient-Party,67.58,2,Check-Out,2015-07-09,Room Match,2,0,FALSE,7,473.06,90+,0.29,0,High Value,0.01,0
Resort Hotel,2015-07-02,0,93,2015,July,27,2,3,8,2,BB,IRL,Offline TA/TO,TA/TO,0,A,A,No Deposit,Contract,56.01,0,Check-Out,2015-07-13,Room Match,2,0,FALSE,11,616.11,90+,0.27,0,Premium Value,0.01,0
Resort Hotel,2015-07-02,0,76,2015,July,27,2,4,10,2,BB,OMN,Offline TA/TO,TA/TO,0,D,D,No Deposit,Contract,110.7,0,Check-Out,2015-07-16,Room Match,2,0,FALSE,14,1549.8,31-90,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-02,0,3,2015,July,27,2,0,1,2,BB,ESP,Online TA,TA/TO,0,A,C,No Deposit,Transient,88.2,0,Check-Out,2015-07-03,Room Change,2,0,FALSE,1,88.2,0-7,0,0,Low Value,0.25,0
Resort Hotel,2015-07-02,0,1,2015,July,27,2,0,1,2,BB,ARG,Online TA,TA/TO,0,H,H,No Deposit,Transient,147,0,Check-Out,2015-07-03,Room Match,2,0,FALSE,1,147,0-7,0,0,Low Value,0.5,0
Resort Hotel,2015-07-02,0,1,2015,July,27,2,0,1,2,BB,ESP,Direct,Direct,0,C,C,No Deposit,Transient,107,2,Check-Out,2015-07-03,Room Match,4,1,FALSE,1,107,0-7,0,0,Low Value,0.5,0
Resort Hotel,2015-07-02,0,0,2015,July,27,2,0,1,2,BB,PRT,Direct,Direct,0,H,H,No Deposit,Transient,147,0,Check-Out,2015-07-03,Room Match,2,0,FALSE,1,147,0-7,0,0,Low Value,1,1
Resort Hotel,2015-07-02,0,0,2015,July,27,2,0,1,2,BB,PRT,Online TA,TA/TO,0,A,D,No Deposit,Transient,117.9,2,Check-Out,2015-07-03,Room Change,2,0,FALSE,1,117.9,0-7,0,0,Low Value,1,1
Resort Hotel,2015-07-02,0,0,2015,July,27,2,0,1,2,BB,PRT,Direct,Direct,0,G,G,No Deposit,Transient,123,0,Check-Out,2015-07-03,Room Match,2,0,FALSE,1,123,0-7,0,0,Low Value,1,1
Resort Hotel,2015-07-02,0,14,2015,July,27,2,0,2,2,BB,USA,Online TA,TA/TO,0,A,C,No Deposit,Transient,98,1,Check-Out,2015-07-04,Room Change,2,0,FALSE,2,196,8-30,0,0,Moderate Value,0.07,0
Resort Hotel,2015-07-02,0,10,2015,July,27,2,0,2,2,BB,PRT,Online TA,TA/TO,0,G,G,No Deposit,Transient,117.81,0,Check-Out,2015-07-04,Room Match,2,0,FALSE,2,235.62,8-30,0,0,Moderate Value,0.09,0
Resort Hotel,2015-07-02,0,5,2015,July,27,2,0,2,2,BB,IRL,Online TA,TA/TO,0,E,E,No Deposit,Transient,135,2,Check-Out,2015-07-04,Room Match,2,0,FALSE,2,270,0-7,0,0,Moderate Value,0.17,0
Resort Hotel,2015-07-02,0,17,2015,July,27,2,0,3,2,BB,ESP,Direct,Direct,0,F,F,No Deposit,Transient,133,1,Check-Out,2015-07-05,Room Match,2,0,FALSE,3,399,8-30,0,0,High Value,0.06,0
Resort Hotel,2015-07-02,0,93,2015,July,27,2,0,3,2,BB,IRL,Offline TA/TO,TA/TO,0,A,C,No Deposit,Contract,58.95,0,Check-Out,2015-07-05,Room Change,2,0,FALSE,3,176.85000000000002,90+,0,0,Moderate Value,0.01,0
Resort Hotel,2015-07-02,1,3,2015,July,27,2,0,3,2,HB,PRT,Online TA,TA/TO,0,A,A,No Deposit,Transient,136.33,2,Canceled,2015-06-29,Room Match,2,0,FALSE,3,408.99,0-7,0,408.99,High Value,0.25,0
Resort Hotel,2015-07-03,0,10,2015,July,27,3,0,2,2,BB,USA,Online TA,TA/TO,0,G,H,No Deposit,Transient,153,0,Check-Out,2015-07-05,Room Change,4,1,FALSE,2,306,8-30,0,0,High Value,0.09,0
Resort Hotel,2015-07-03,0,3,2015,July,27,3,0,2,2,BB,ESP,Online TA,TA/TO,0,A,C,No Deposit,Transient,110.5,0,Check-Out,2015-07-05,Room Change,2,0,FALSE,2,221,0-7,0,0,Moderate Value,0.25,0
Resort Hotel,2015-07-03,0,51,2015,July,27,3,0,2,2,BB,POL,Online TA,TA/TO,0,D,D,No Deposit,Transient,97,0,Check-Out,2015-07-05,Room Match,2,0,FALSE,2,194,31-90,0,0,Moderate Value,0.02,0
Resort Hotel,2015-07-03,1,71,2015,July,27,3,0,2,3,BB,PRT,Offline TA/TO,TA/TO,0,A,A,No Deposit,Transient,110.3,2,Canceled,2015-06-16,Room Match,3,0,FALSE,2,220.6,31-90,0,220.6,Moderate Value,0.01,0
Resort Hotel,2015-07-03,1,63,2015,July,27,3,0,2,2,BB,PRT,Online TA,TA/TO,0,A,A,No Deposit,Transient,82,2,Canceled,2015-06-18,Room Match,2,0,FALSE,2,164,31-90,0,164,Moderate Value,0.02,0
Resort Hotel,2015-07-03,1,62,2015,July,27,3,0,2,2,BB,PRT,Online TA,TA/TO,0,D,D,No Deposit,Transient,97,1,Canceled,2015-07-03,Room Match,2,0,FALSE,2,194,31-90,0,194,Moderate Value,0.02,0
Resort Hotel,2015-07-03,1,101,2015,July,27,3,0,2,2,BB,PRT,Online TA,TA/TO,0,A,A,No Deposit,Transient,73.8,1,Canceled,2015-06-12,Room Match,2,0,FALSE,2,147.6,90+,0,147.6,Low Value,0.01,0
Resort Hotel,2015-07-03,0,2,2015,July,27,3,0,2,2,HB,PRT,Offline TA/TO,TA/TO,0,A,A,No Deposit,Transient,91.5,0,Check-Out,2015-07-05,Room Match,2,0,FALSE,2,183,0-7,0,0,Moderate Value,0.33,0
Resort Hotel,2015-07-03,0,15,2015,July,27,3,0,2,2,BB,ESP,Online TA,TA/TO,0,A,A,No Deposit,Transient,114.5,0,Check-Out,2015-07-05,Room Match,2,0,FALSE,2,229,8-30,0,0,Moderate Value,0.06,0
Resort Hotel,2015-07-03,1,51,2015,July,27,3,0,2,3,BB,PRT,Online TA,TA/TO,0,A,A,No Deposit,Transient,110.3,0,Canceled,2015-06-09,Room Match,3,0,FALSE,2,220.6,31-90,0,220.6,Moderate Value,0.02,0
Resort Hotel,2015-07-03,0,3,2015,July,27,3,1,2,2,BB,ESP,Online TA,TA/TO,0,A,A,No Deposit,Transient,90.9,0,Check-Out,2015-07-06,Room Match,2,0,FALSE,3,272.70000000000005,0-7,0.33,0,Moderate Value,0.25,0
Resort Hotel,2015-07-03,1,48,2015,July,27,3,1,2,2,BB,PRT,Online TA,TA/TO,0,E,E,No Deposit,Transient,123,0,Canceled,2015-05-26,Room Match,2,0,FALSE,3,369,31-90,0.33,369,High Value,0.02,0
Resort Hotel,2015-07-03,0,2,2015,July,27,3,2,2,1,BB,PRT,Online TA,TA/TO,0,A,A,No Deposit,Transient,122,0,Check-Out,2015-07-07,Room Match,1,0,FALSE,4,488,0-7,0.5,0,High Value,0.33,0
Resort Hotel,2015-07-03,0,72,2015,July,27,3,2,2,2,BB,DEU,Offline TA/TO,TA/TO,0,A,A,No Deposit,Transient,110.7,0,Check-Out,2015-07-07,Room Match,2,0,FALSE,4,442.8,31-90,0.5,0,High Value,0.01,0
Resort Hotel,2015-07-03,0,81,2015,July,27,3,2,6,3,BB,PRT,Offline TA/TO,TA/TO,0,D,D,No Deposit,Transient,85.86,0,Check-Out,2015-07-11,Room Match,3,0,FALSE,8,686.88,31-90,0.25,0,Premium Value,0.01,0
Resort Hotel,2015-07-03,0,99,2015,July,27,3,2,7,2,BB,FRA,Offline TA/TO,TA/TO,0,A,A,No Deposit,Contract,58.95,0,Check-Out,2015-07-12,Room Match,2,0,FALSE,9,530.5500000000001,90+,0.22,0,Premium Value,0.01,0
Resort Hotel,2015-07-03,1,368,2015,July,27,3,3,7,2,BB,PRT,Offline TA/TO,TA/TO,0,A,A,No Deposit,Contract,55.68,0,Canceled,2015-05-19,Room Match,2,0,FALSE,10,556.8,90+,0.3,556.8,Premium Value,0,0
Resort Hotel,2015-07-03,0,364,2015,July,27,3,3,7,2,BB,GBR,Offline TA/TO,TA/TO,0,A,A,No Deposit,Contract,55.68,0,Check-Out,2015-07-13,Room Match,2,0,FALSE,10,556.8,90+,0.3,0,Premium Value,0,0
Resort Hotel,2015-07-03,1,81,2015,July,27,3,3,7,2,HB,PRT,Direct,Direct,0,A,A,No Deposit,Transient,124,1,Canceled,2015-06-09,Room Match,2,0,TRUE,10,1240,31-90,0.3,1240,Premium Value,0.01,0
Resort Hotel,2015-07-03,0,99,2015,July,27,3,3,7,2,HB,GBR,Offline TA/TO,TA/TO,0,E,E,No Deposit,Contract,111.15,0,Check-Out,2015-07-13,Room Match,2,0,FALSE,10,1111.5,90+,0.3,0,Premium Value,0.01,0
Resort Hotel,2015-07-03,0,324,2015,July,27,3,4,10,2,HB,GBR,Offline TA/TO,TA/TO,0,E,E,No Deposit,Contract,134.73,0,Check-Out,2015-07-17,Room Match,2,0,FALSE,14,1886.2199999999998,90+,0.29,0,Premium Value,0,0
Resort Hotel,2015-07-03,0,69,2015,July,27,3,4,10,2,BB,GBR,Online TA,TA/TO,0,F,F,No Deposit,Transient,92.45,1,Check-Out,2015-07-17,Room Match,2,0,TRUE,14,1294.3,31-90,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-03,1,79,2015,July,27,3,6,15,2,BB,PRT,Offline TA/TO,TA/TO,0,A,A,No Deposit,Transient,108.73,2,Canceled,2015-04-15,Room Match,3,1,FALSE,21,2283.33,31-90,0.29,2283.33,Premium Value,0.01,0
Resort Hotel,2015-07-03,0,12,2015,July,27,3,0,1,2,BB,GBR,Online TA,TA/TO,0,A,C,No Deposit,Transient,73.8,0,Check-Out,2015-07-04,Room Change,2,0,FALSE,1,73.8,8-30,0,0,Low Value,0.08,0
Resort Hotel,2015-07-03,0,9,2015,July,27,3,0,1,2,BB,PRT,Online TA,TA/TO,0,A,C,No Deposit,Transient,98,2,Check-Out,2015-07-04,Room Change,2,0,FALSE,1,98,8-30,0,0,Low Value,0.1,0
Resort Hotel,2015-07-03,0,1,2015,July,27,3,0,1,2,BB,ESP,Online TA,TA/TO,0,A,C,No Deposit,Transient,131,1,Check-Out,2015-07-04,Room Change,2,0,FALSE,1,131,0-7,0,0,Low Value,0.5,0
Resort Hotel,2015-07-03,0,21,2015,July,27,3,0,1,2,BB,PRT,Online TA,TA/TO,0,E,E,No Deposit,Transient,123,0,Check-Out,2015-07-04,Room Match,2,0,FALSE,1,123,8-30,0,0,Low Value,0.05,0
Resort Hotel,2015-07-03,0,9,2015,July,27,3,0,1,2,BB,USA,Online TA,TA/TO,0,C,C,No Deposit,Transient,94.71,0,Check-Out,2015-07-04,Room Match,2,0,FALSE,1,94.71,8-30,0,0,Low Value,0.1,0
Resort Hotel,2015-07-03,0,109,2015,July,27,3,0,1,2,BB,BEL,Online TA,TA/TO,0,A,A,No Deposit,Transient,123,2,Check-Out,2015-07-04,Room Match,2,0,FALSE,1,123,90+,0,0,Low Value,0.01,0
Resort Hotel,2015-07-03,1,109,2015,July,27,3,0,2,2,BB,PRT,Online TA,TA/TO,0,A,A,No Deposit,Transient,123,1,Canceled,2015-05-26,Room Match,2,0,FALSE,2,246,90+,0,246,Moderate Value,0.01,0
Resort Hotel,2015-07-03,1,72,2015,July,27,3,0,2,2,BB,PRT,Online TA,TA/TO,0,A,A,No Deposit,Transient,73.8,1,Canceled,2015-06-29,Room Match,2,0,FALSE,2,147.6,31-90,0,147.6,Low Value,0.01,0
Resort Hotel,2015-07-03,1,63,2015,July,27,3,2,5,2,BB,PRT,Online TA,TA/TO,0,F,F,No Deposit,Transient,117,1,Canceled,2015-05-13,Room Match,2,0,FALSE,7,819,31-90,0.29,819,Premium Value,0.02,0
Resort Hotel,2015-07-03,0,63,2015,July,27,3,2,5,3,HB,ESP,Offline TA/TO,TA/TO,0,E,E,No Deposit,Transient,196.54,1,Check-Out,2015-07-10,Room Match,3,0,FALSE,7,1375.78,31-90,0.29,0,Premium Value,0.02,0
Resort Hotel,2015-07-03,0,101,2015,July,27,3,2,5,2,BB,PRT,Online TA,TA/TO,0,D,D,No Deposit,Transient,99.3,2,Check-Out,2015-07-10,Room Match,3,1,FALSE,7,695.1,90+,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-03,0,102,2015,July,27,3,2,5,2,BB,DEU,Direct,Direct,0,E,E,No Deposit,Transient,90.95,0,Check-Out,2015-07-10,Room Match,2,0,FALSE,7,636.65,90+,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-04,0,4,2015,July,27,4,2,1,2,BB,ESP,Direct,Direct,0,A,C,No Deposit,Transient,92.67,1,Check-Out,2015-07-07,Room Change,2,0,FALSE,3,278.01,0-7,0.67,0,Moderate Value,0.2,0
Resort Hotel,2015-07-04,0,98,2015,July,27,4,2,1,2,BB,FRA,Offline TA/TO,TA/TO,0,D,D,No Deposit,Transient,71.55,0,Check-Out,2015-07-07,Room Match,2,0,FALSE,3,214.64999999999998,90+,0.67,0,Moderate Value,0.01,0
Resort Hotel,2015-07-04,0,92,2015,July,27,4,2,4,1,BB,FRA,Offline TA/TO,TA/TO,0,F,F,No Deposit,Transient,96.49,2,Check-Out,2015-07-10,Room Match,3,1,FALSE,6,578.9399999999999,90+,0.33,0,Premium Value,0.01,0
Resort Hotel,2015-07-04,0,95,2015,July,27,4,2,4,2,BB,PRT,Online TA,TA/TO,0,A,C,No Deposit,Transient,85.8,2,Check-Out,2015-07-10,Room Change,2,0,FALSE,6,514.8,90+,0.33,0,Premium Value,0.01,0
Resort Hotel,2015-07-04,0,102,2015,July,27,4,2,5,2,BB,PRT,Online TA,TA/TO,0,E,E,No Deposit,Transient,96.3,1,Check-Out,2015-07-11,Room Match,2,0,FALSE,7,674.1,90+,0.29,0,Premium Value,0.01,0
Resort Hotel,2015-07-04,1,26,2015,July,27,4,2,5,2,BB,PRT,Online TA,TA/TO,0,H,H,No Deposit,Transient,163,0,Canceled,2015-06-09,Room Match,4,1,FALSE,7,1141,8-30,0.29,1141,Premium Value,0.04,0
Resort Hotel,2015-07-04,1,73,2015,July,27,4,2,5,3,HB,PRT,Direct,Direct,0,D,D,No Deposit,Transient,172,1,Canceled,2015-05-20,Room Match,3,0,FALSE,7,1204,31-90,0.29,1204,Premium Value,0.01,0
Resort Hotel,2015-07-04,1,102,2015,July,27,4,2,5,2,BB,PRT,Online TA,TA/TO,0,A,A,No Deposit,Transient,110.7,1,Canceled,2015-04-22,Room Match,2,0,FALSE,7,774.9,90+,0.29,774.9,Premium Value,0.01,0
Resort Hotel,2015-07-04,0,115,2015,July,27,4,2,5,2,BB,PRT,Offline TA/TO,TA/TO,0,A,A,No Deposit,Transient,58.95,1,Check-Out,2015-07-11,Room Match,2,0,FALSE,7,412.65000000000003,90+,0.29,0,High Value,0.01,0
